U/t,Double Occupancy
0.0,0.2975065257987459
0.42105263157894735,0.16760356893900016
0.8421052631578947,0.15036780198597474
1.263157894736842,0.13534329353684416
1.6842105263157894,0.12214866617547279
2.1052631578947367,0.11048420092493597
2.526315789473684,0.1001201551124428
2.9473684210526314,0.09087928334771925
3.3684210526315788,0.08262133210956274
3.789473684210526,0.0752315403508906
4.2105263157894735,0.06861289282973497
4.631578947368421,0.06268120976592582
5.052631578947368,0.0573621480265807
5.473684210526315,0.05258938917658103
5.894736842105263,0.048303513960058955
6.315789473684211,0.04445124702216831
6.7368421052631575,0.04098488728861434
7.157894736842104,0.03786182511748816
7.578947368421052,0.03504409895397036
8.0,0.032497972907526054
